sample,bwtfile,threshold
CC001_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC001_MRCA_2021,4
CC002_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC002_MRCA_2022,4
CC003_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC003_MRCA_2021,4
CC004_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC004_MRCA_2021,4
CC005_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC005_MRCA_2021,4
CC006_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC006_MRCA_2022,4
CC007_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC007_MRCA_2022,4
CC008_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC008_MRCA_2022,4
CC009_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC009_MRCA_2020,4
CC010_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC010_MRCA_2020,4
CC011_MRCA_2019,/proj/mcmillanlab/data/BWTs/CC011_MRCA_2019,4
CC012_MRCA_2019,/proj/mcmillanlab/data/BWTs/CC012_MRCA_2019,4
CC013_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC013_MRCA_2022,4
CC015_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC015_MRCA_2022,4
CC016_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC016_MRCA_2022,4
CC017_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC017_MRCA_2022,4
CC018_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC018_MRCA_2020,4
CC019_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC019_MRCA_2022,4
CC021_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC021_MRCA_2022,4
CC023_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC023_MRCA_2022,4
CC024_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC024_MRCA_2020,4
CC025_MRCA_2020_aug22,/proj/mcmillanlab/data/BWTs/CC025_MRCA_2020_aug22,4
CC025_MRCA_2020_Full,/proj/mcmillanlab/data/BWTs/CC025_MRCA_2020_Full,4
CC025_MRCA_2020_old_data_only,/proj/mcmillanlab/data/BWTs/CC025_MRCA_2020_old_data_only,4
CC026_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC026_MRCA_2021,4
CC027_MRCA_2019,/proj/mcmillanlab/data/BWTs/CC027_MRCA_2019,4
CC028_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC028_MRCA_2021,4
CC029_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC029_MRCA_2022,4
CC030_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC030_MRCA_2022,4
CC031_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC031_MRCA_2022,4
CC032_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC032_MRCA_2020,4
CC033_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC033_MRCA_2020,4
CC035_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC035_MRCA_2020,4
CC036_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC036_MRCA_2020,4
CC037_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC037_MRCA_2022,4
CC038_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC038_MRCA_2022,4
CC039_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC039_MRCA_2022,4
CC040_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC040_MRCA_2022,4
CC041_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC041_MRCA_2021,4
CC042_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC042_MRCA_2022,4
CC043_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC043_MRCA_2020,4
CC044_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC044_MRCA_2020,4
CC045_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC045_MRCA_2022,4
CC046_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC046_MRCA_2022,4
CC049_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC049_MRCA_2022,4
CC051_MRCA_2021,/proj/mcmillanlab/data/BWTs/CC051_MRCA_2021,4
CC053_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC053_MRCA_2022,4
CC057_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC057_MRCA_2020,4
CC058_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC058_MRCA_2022,4
CC059_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC059_MRCA_2022,4
CC060_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC060_MRCA_2022,4
CC061_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC061_MRCA_2020,4
CC062_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC062_MRCA_2022,4
CC065_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC065_MRCA_2022,4
CC068_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC068_MRCA_2022,4
CC071_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC071_MRCA_2022,4
CC072_MRCA_2020,/proj/mcmillanlab/data/BWTs/CC072_MRCA_2020,4
CC074_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC074_MRCA_2022,4
CC075_MRCA_2022,/proj/mcmillanlab/data/BWTs/CC075_MRCA_2022,4
